,City,Country,Lat,Lng,Date,Cloudiness,Humidity,Wind Speed,Max Temp
375,Santa Cruz de Tenerife,ES,28.47,-16.25,1569169746,75,78,11.41,79.0
376,Bara,NG,10.41,10.6,1569169746,12,42,3.4,91.77
377,Zhuhai,CN,40.71,112.04,1569169747,0,58,4.47,55.4
378,Tazovskiy,RU,67.47,78.7,1569169747,38,76,10.16,36.87
379,Grand-Santi,GF,4.27,-54.38,1569169747,65,43,5.06,92.13
380,Berat,AL,40.7,19.96,1569169747,78,62,4.9,71.25
381,Sharan,AF,33.15,68.78,1569169748,0,8,6.08,70.35
382,Buy,RU,58.48,41.53,1569169748,100,93,5.23,37.23
383,Surt,LY,31.21,16.59,1569169748,0,75,15.39,77.37
384,Yara,CU,20.27,-76.95,1569169748,100,79,2.68,81.51
385,Tarrafal,CV,15.28,-23.77,1569169748,40,55,16.11,91.4
386,Cidreira,BR,-30.17,-50.22,1569169749,0,49,11.32,66.39
387,Kimbe,PG,-5.56,150.15,1569169749,100,94,2.62,73.59
388,Nelson Bay,AU,-32.72,152.14,1569169749,40,93,6.93,61.0
389,Upernavik,GL,72.79,-56.15,1569169749,64,75,6.64,35.61
390,Norfolk,US,36.85,-76.29,1569169592,1,54,6.93,86.0
391,Lithgow,AU,-33.48,150.16,1569169749,0,93,2.39,53.01
392,Tarauaca,BR,-8.16,-70.77,1569169750,0,43,2.98,90.69
393,Cape Canaveral,US,28.41,-80.6,1569169518,20,58,16.11,86.0
394,Porto Velho,BR,-8.75,-63.87,1569169729,40,69,4.7,82.4
395,Mount Gambier,AU,-37.83,140.78,1569169750,75,93,8.05,42.8
396,Chalon-sur-Saone,FR,46.78,4.85,1569169632,100,64,12.75,73.4
397,Arandis,NA,-22.42,14.98,1569169751,35,79,3.0,63.0
398,Marawi,PH,8.0,124.29,1569169751,99,91,5.01,75.0
399,Valparaiso,US,41.47,-87.06,1569169653,75,48,18.34,82.4
400,Sur,OM,22.57,59.53,1569169751,82,52,0.54,84.03
401,Mathathane,BW,-22.27,28.75,1569169752,0,8,5.91,93.57
402,Kandrian,PG,-6.21,149.55,1569169752,100,96,1.59,72.69
403,Port Hardy,CA,50.7,-127.42,1569169752,90,100,9.17,55.4
404,Sisimiut,GL,66.94,-53.67,1569169654,87,89,13.78,39.39
405,Santa Cruz del Sur,CU,20.71,-78.0,1569169752,63,75,4.7,84.57
406,Nicolas Bravo,MX,24.39,-104.74,1569169752,5,59,2.24,70.0
407,Tommot,RU,58.97,126.27,1569169753,63,94,7.38,39.39
408,Bubaque,GW,11.28,-15.83,1569169753,100,83,9.82,79.89
409,La Orilla,MX,18.0,-102.23,1569169753,66,76,2.75,81.33
410,Chauny,FR,49.61,3.22,1569169753,100,93,10.29,61.0
411,Zeya,RU,53.74,127.27,1569169753,97,96,4.52,47.13
412,Ponta do Sol,BR,-20.63,-46.0,1569169753,12,36,4.72,89.61
413,Fuerte Olimpo,BR,-21.04,-57.87,1569169754,19,23,9.91,91.59
414,Kouango,CF,4.99,19.98,1569169754,99,74,2.42,85.83
415,Praia,BR,-20.25,-43.81,1569169754,0,45,9.17,86.0
416,Barinas,VE,8.64,-70.23,1569169755,100,87,1.16,75.39
417,Chivay,PE,-15.64,-71.6,1569169755,89,41,4.5,52.35
418,Marica,BR,-22.92,-42.82,1569169755,90,100,13.87,73.4
419,Trincomalee,LK,8.58,81.23,1569169755,100,90,3.09,77.37
420,Archidona,EC,-0.91,-77.81,1569169755,75,70,4.14,84.2
421,Lamu,CN,35.77,102.37,1569169756,47,60,6.26,47.13
422,Kalemie,CD,-5.95,29.2,1569169756,56,37,1.68,82.41
423,California City,US,35.13,-117.99,1569169756,96,16,6.93,73.99
424,Luanda,AO,-8.83,13.24,1569169756,0,78,11.41,77.0
425,Majur,HR,45.26,16.53,1569169757,0,68,4.7,68.0
426,Monterey,US,36.6,-121.89,1569169757,90,87,3.36,69.01
427,Alihe,CN,50.57,123.73,1569169757,0,75,4.52,51.63
428,Serov,RU,59.61,60.57,1569169757,50,77,5.17,33.99
429,Uyuni,BO,-20.46,-66.82,1569169757,0,9,2.19,58.29
430,Kasongo-Lunda,CD,-6.48,16.82,1569169758,76,33,3.62,90.69
431,San Cristobal,HN,14.68,-86.92,1569169758,88,74,2.15,77.01
432,Ritchie,ZA,-29.03,24.6,1569169758,0,32,9.17,68.0
433,Chimbote,PE,-9.08,-78.59,1569169758,100,93,6.91,60.27
434,Jurm,AF,36.86,70.83,1569169758,0,51,3.58,51.81
435,Teya,MX,21.05,-89.07,1569169759,75,70,8.05,90.0
436,Luderitz,NA,-26.65,15.16,1569169759,0,40,24.16,73.4
437,Iranshahr,IR,27.21,60.69,1569169759,0,12,4.7,98.6
438,Manaus,BR,-3.13,-59.98,1569169759,40,66,6.93,87.8
439,Dudinka,RU,69.41,86.18,1569169759,75,80,15.66,37.4
440,Shimoda,JP,34.7,138.93,1569169760,75,94,1.12,73.4
441,Vilhena,BR,-12.74,-60.15,1569169760,48,62,10.29,84.2
442,Waitati,NZ,-45.75,170.57,1569169760,95,67,10.29,50.01
443,Ceyhan,TR,37.03,35.82,1569169760,0,41,8.05,79.0
444,Saint Anthony,US,43.97,-111.68,1569169712,1,54,6.93,54.0
445,Ilulissat,GL,69.22,-51.1,1569169761,44,69,3.36,39.2
446,Lianran,CN,24.92,102.47,1569169761,0,71,8.95,59.0
447,Chekalin,RU,54.1,36.24,1569169761,40,80,6.71,39.2
448,Araouane,ML,18.9,-3.53,1569169761,0,6,8.39,106.35
449,Bathurst,AU,-33.42,149.58,1569169762,0,63,3.44,44.01
450,Listvyanskiy,RU,54.44,83.49,1569169762,64,70,17.18,60.27
451,Mollendo,PE,-17.03,-72.02,1569169762,100,86,10.54,60.45
452,Terney,RU,45.05,136.61,1569169762,100,79,5.84,46.59
453,Iqaluit,CA,63.75,-68.52,1569169762,75,69,12.75,39.2
454,Aljustrel,PT,37.88,-8.16,1569169763,40,43,10.29,73.4
455,Promyshlennovskiy,RU,55.48,86.2,1569169763,0,54,6.71,53.6
456,Puerto Escondido,MX,15.86,-97.07,1569169763,40,70,5.82,84.2
457,Leningradskiy,RU,69.38,178.42,1569169763,100,93,14.58,32.01
458,Kakonko,TZ,-3.28,30.97,1569169763,83,25,4.85,86.55
459,Skibbereen,IE,51.55,-9.27,1569169764,40,67,11.41,60.8
460,Road Town,VG,18.42,-64.62,1569169764,40,74,6.93,81.0
461,Lithakia,GR,37.72,20.83,1569169764,20,47,8.05,78.8
462,Mumbwa,ZM,-14.99,27.06,1569169764,19,12,6.17,91.41
463,Kavieng,PG,-2.57,150.8,1569169765,100,70,5.5,82.95
464,Jertih,MY,5.74,102.5,1569169765,75,78,6.93,82.4
465,Beja,PT,38.02,-7.87,1569169765,40,43,10.29,73.4
466,Svetlogorsk,RU,53.14,59.15,1569169765,20,69,8.95,33.8
467,Quatre Cocos,MU,-20.21,57.76,1569169765,75,88,13.87,71.6
468,Kaniama,CD,-7.57,24.18,1569169766,100,47,3.74,82.05
469,Kaabong,UG,3.51,34.14,1569169766,83,46,1.01,78.45
470,Sorland,NO,67.67,12.69,1569169766,20,65,14.99,46.4
471,Erenhot,CN,43.65,111.97,1569169766,19,23,8.03,66.03
472,Dunedin,NZ,-45.87,170.5,1569169766,95,67,10.29,50.01
473,Hrinova,SK,48.58,19.53,1569169767,0,45,4.7,64.4
474,Ukiah,US,39.15,-123.21,1569169608,1,67,3.53,70.0
475,Port-Cartier,CA,50.03,-66.88,1569169767,20,71,5.82,60.01
476,Corner Brook,CA,48.95,-57.95,1569169767,75,51,23.04,60.8
477,Kieta,PG,-6.22,155.63,1569169767,6,78,7.65,79.71
478,Sibolga,ID,1.74,98.78,1569169767,28,83,14.05,82.05
479,Champerico,MX,16.38,-93.6,1569169768,40,69,4.29,80.6
480,Tabas,IR,33.6,56.92,1569169768,0,9,4.7,93.2
481,King City,CA,43.93,-79.54,1569169768,75,58,17.22,86.0
482,Ninghai,CN,29.29,121.42,1569169768,0,68,8.95,73.0
483,Karpathos,GR,35.51,27.21,1569169768,0,56,28.86,71.6
484,Gat,SN,14.69,-16.54,1569169769,75,66,2.24,91.4
485,Port Macquarie,AU,-31.43,152.91,1569169769,5,77,8.05,62.6
486,Bocas del Toro,PA,9.33,-82.25,1569169769,100,82,5.77,79.71
487,Medicine Hat,CA,50.04,-110.68,1569169596,5,58,14.99,61.0
488,Portales,US,34.19,-103.33,1569169610,20,60,17.22,70.0
489,Rawson,AR,-43.3,-65.11,1569169769,0,26,15.57,57.57
490,Grand Gaube,MU,-20.01,57.66,1569169769,75,88,13.87,71.6
491,Victoria,BN,5.28,115.24,1569169770,75,83,2.24,82.4
492,Noshiro,JP,40.21,140.05,1569169770,100,90,5.44,56.49
493,Harnosand,SE,62.63,17.94,1569169770,0,45,6.93,51.01
494,Egvekinot,RU,66.32,-179.17,1569169771,0,73,1.59,25.71
495,Espoo,FI,60.22,24.66,1569169771,20,52,9.17,46.4
496,Poum,MK,41.28,20.71,1569169771,0,52,2.24,69.8
497,Sarkand,KZ,45.41,79.91,1569169771,0,17,6.98,75.93
498,Toro,ES,41.52,-5.39,1569169771,40,40,13.87,69.01
499,Bellevue,DE,50.05,10.19,1569169772,40,46,3.36,75.99
500,Ouahigouya,BF,13.58,-2.42,1569169772,0,29,3.87,98.07
501,Nadym,RU,65.53,72.51,1569169772,100,66,19.62,41.19
502,Khasan,RU,42.43,130.64,1569169772,100,78,2.91,51.63
503,Seoul,KR,37.57,126.98,1569169772,75,63,4.7,66.2
504,Kiunga,PG,-6.12,141.3,1569169773,100,99,2.53,72.15
505,Kavali,IN,14.91,79.99,1569169773,1,71,7.83,83.31
506,Tunceli,TR,39.11,39.55,1569169773,0,30,6.93,64.4
507,Sotnikovskoye,RU,45.0,43.79,1569169773,0,44,12.73,59.19
508,Sovetskaya,RU,44.78,41.17,1569169773,2,5,21.99,55.0
509,Novooleksiyivka,UA,48.49,32.24,1569169774,20,52,9.57,64.95
510,Nabire,ID,-3.36,135.5,1569169774,100,99,3.49,68.73
511,Alnavar,IN,15.43,74.74,1569169774,67,99,4.09,69.27
512,Killam,CA,52.79,-111.86,1569169774,0,72,6.02,53.25
513,Rio Grande,BR,-32.03,-52.1,1569169774,0,40,10.29,68.0
514,Dickinson,US,46.88,-102.79,1569169643,1,63,10.29,62.01
515,Khandyga,RU,62.65,135.58,1569169775,100,97,3.13,33.99
516,Sioux Lookout,CA,50.1,-91.92,1569169721,40,82,16.11,59.0
517,Bida,NG,9.08,6.02,1569169775,37,50,1.68,92.85
518,Griffith,AU,-34.29,146.06,1569169775,90,57,2.86,50.0
519,Menzelinsk,RU,55.73,53.11,1569169776,40,93,11.18,37.4
520,Chumikan,RU,54.72,135.31,1569169776,54,94,6.13,41.37
521,Wanning,AT,48.64,13.53,1569169776,75,59,3.36,66.0
522,Sao Jose da Coroa Grande,BR,-8.9,-35.15,1569169776,42,59,9.75,82.95
523,Sinnamary,GF,5.38,-52.96,1569169776,100,78,16.71,82.23
524,Lokachi,UA,50.74,24.65,1569169777,0,59,7.07,62.01
525,Shitanjing,CN,39.23,106.34,1569169777,14,31,10.31,68.19
526,Cabrobo,BR,-8.51,-39.31,1569169777,66,29,11.77,88.89
527,Marietta,US,33.95,-84.55,1569169509,20,54,6.93,82.99
528,Rincon,PA,8.46,-82.28,1569169777,40,78,4.7,82.4
529,Ballina,IE,54.11,-9.15,1569169778,75,87,12.75,60.01
530,Shelburne,CA,44.08,-80.2,1569169592,1,61,10.29,82.4
531,Fukue,JP,35.03,136.69,1569169778,75,94,21.92,79.0
532,Grenfell,AU,-33.9,148.16,1569169778,57,75,2.04,43.17
533,Mushie,CD,-3.02,16.92,1569169778,43,45,0.94,90.87
534,Rusape,ZW,-18.53,32.12,1569169779,3,14,7.11,82.95
535,Qaqortoq,GL,60.72,-46.03,1569169744,0,70,2.24,42.8
536,Zhob,PK,31.34,69.45,1569169779,0,29,8.95,75.93
537,Suleja,NG,9.18,7.18,1569169779,75,69,25.28,73.4
538,Ambovombe,MG,-25.18,46.09,1569169779,0,79,31.16,72.51
539,Cortes,PH,9.28,126.19,1569169780,89,77,5.84,80.61
540,Palana,RU,59.08,159.95,1569169780,100,87,22.03,47.49
541,Stromness,CA,42.87,-79.55,1569169780,75,58,16.11,84.2
542,Vrangel,RU,42.73,133.08,1569169780,100,78,4.36,49.65
543,El Real de Santa Maria,PA,8.11,-77.73,1569169781,100,62,1.07,85.65
544,Kirove,UA,47.83,38.01,1569169781,87,61,16.17,59.37
545,Husavik,CA,50.56,-96.99,1569169781,69,91,3.0,60.01
546,Tiznit,MA,29.7,-9.73,1569169781,0,88,7.67,69.81
547,Timizart,DZ,36.8,4.25,1569169782,100,87,2.51,73.77
548,Ketchikan,US,55.34,-131.65,1569169782,90,93,5.82,53.6
549,Tual,ID,-5.67,132.75,1569169782,0,89,12.71,78.27
550,Fengcheng,CN,40.45,124.07,1569169782,0,66,4.61,53.07
551,Axim,GH,4.87,-2.24,1569169782,100,87,6.58,77.73
552,Meulaboh,ID,4.14,96.13,1569169783,97,81,5.37,81.69
553,Opuwo,NA,-18.06,13.84,1569169783,95,11,16.71,94.65
554,Hajdunanas,HU,47.85,21.43,1569169783,0,24,4.7,71.6
555,Erzin,TR,36.95,36.2,1569169783,0,34,6.93,81.0
556,Paka,CF,4.15,15.03,1569169784,100,88,3.13,79.35
557,Caravelas,BR,-17.73,-39.27,1569169784,24,63,8.08,78.99
558,Laguna,BZ,16.17,-88.94,1569169784,40,70,6.93,87.8
559,Bayan,CN,36.1,102.26,1569169784,47,60,6.26,47.13
560,West Wendover,US,40.74,-114.07,1569169566,1,46,5.82,53.6
561,Cururupu,BR,-1.82,-44.87,1569169784,60,60,6.17,87.09
